83BoundingBox(left=134000.0, bottom=216000.0, right=135000.0, top=217000.0)
84BoundingBox(left=134000.0, bottom=215000.0, right=135000.0, top=216000.0)
85BoundingBox(left=134000.0, bottom=214000.0, right=135000.0, top=215000.0)
86BoundingBox(left=134000.0, bottom=213000.0, right=135000.0, top=214000.0)
87BoundingBox(left=134000.0, bottom=212000.0, right=135000.0, top=213000.0)
88BoundingBox(left=134000.0, bottom=211000.0, right=135000.0, top=212000.0)
89BoundingBox(left=134000.0, bottom=210000.0, right=135000.0, top=211000.0)
90BoundingBox(left=134000.0, bottom=209000.0, right=135000.0, top=210000.0)
91BoundingBox(left=134000.0, bottom=208000.0, right=135000.0, top=209000.0)
92BoundingBox(left=134000.0, bottom=207000.0, right=135000.0, top=208000.0)
93BoundingBox(left=134000.0, bottom=206000.0, right=135000.0, top=207000.0)
94BoundingBox(left=134000.0, bottom=205000.0, right=135000.0, top=206000.0)
95BoundingBox(left=134000.0, bottom=204000.0, right=135000.0, top=205000.0)
96BoundingBox(left=134000.0, bottom=203000.0, right=135000.0, top=204000.0)
97BoundingBox(left=134000.0, bottom=202000.0, right=135000.0, top=203000.0)
98BoundingBox(left=134000.0, bottom=201000.0, right=135000.0, top=202000.0)
99BoundingBox(left=134000.0, bottom=200000.0, right=135000.0, top=201000.0)
100BoundingBox(left=134000.0, bottom=199000.0, right=135000.0, top=200000.0)
101BoundingBox(left=135000.0, bottom=218000.0, right=136000.0, top=219000.0)
102BoundingBox(left=135000.0, bottom=217000.0, right=136000.0, top=218000.0)
103BoundingBox(left=135000.0, bottom=216000.0, right=136000.0, top=217000.0)
104BoundingBox(left=135000.0, bottom=215000.0, right=136000.0, top=216000.0)
105BoundingBox(left=135000.0, bottom=214000.0, right=136000.0, top=215000.0)
106BoundingBox(left=135000.0, bottom=213000.0, right=136000.0, top=214000.0)
107BoundingBox(left=135000.0, bottom=212000.0, right=136000.0, top=213000.0)
108BoundingBox(left=135000.0, bottom=211000.0, right=136000.0, top=212000.0)
109BoundingBox(left=135000.0, bottom=210000.0, right=136000.0, top=211000.0)
110BoundingBox(left=135000.0, bottom=209000.0, right=136000.0, top=210000.0)
111BoundingBox(left=135000.0, bottom=208000.0, right=136000.0, top=209000.0)
112BoundingBox(left=135000.0, bottom=207000.0, right=136000.0, top=208000.0)
113BoundingBox(left=135000.0, bottom=206000.0, right=136000.0, top=207000.0)
114BoundingBox(left=135000.0, bottom=205000.0, right=136000.0, top=206000.0)
115BoundingBox(left=135000.0, bottom=204000.0, right=136000.0, top=205000.0)
116BoundingBox(left=135000.0, bottom=203000.0, right=136000.0, top=204000.0)
117BoundingBox(left=135000.0, bottom=202000.0, right=136000.0, top=203000.0)
118BoundingBox(left=135000.0, bottom=201000.0, right=136000.0, top=202000.0)
119BoundingBox(left=135000.0, bottom=200000.0, right=136000.0, top=201000.0)
120BoundingBox(left=135000.0, bottom=199000.0, right=136000.0, top=200000.0)
121BoundingBox(left=136000.0, bottom=218000.0, right=137000.0, top=219000.0)
122BoundingBox(left=136000.0, bottom=217000.0, right=137000.0, top=218000.0)
123BoundingBox(left=136000.0, bottom=216000.0, right=137000.0, top=217000.0)
124BoundingBox(left=136000.0, bottom=215000.0, right=137000.0, top=216000.0)
125BoundingBox(left=136000.0, bottom=214000.0, right=137000.0, top=215000.0)
126BoundingBox(left=136000.0, bottom=213000.0, right=137000.0, top=214000.0)
127BoundingBox(left=136000.0, bottom=212000.0, right=137000.0, top=213000.0)
128BoundingBox(left=136000.0, bottom=211000.0, right=137000.0, top=212000.0)
129BoundingBox(left=136000.0, bottom=210000.0, right=137000.0, top=211000.0)
130BoundingBox(left=136000.0, bottom=209000.0, right=137000.0, top=210000.0)
131BoundingBox(left=136000.0, bottom=208000.0, right=137000.0, top=209000.0)
132BoundingBox(left=136000.0, bottom=207000.0, right=137000.0, top=208000.0)
133BoundingBox(left=136000.0, bottom=206000.0, right=137000.0, top=207000.0)
134BoundingBox(left=136000.0, bottom=205000.0, right=137000.0, top=206000.0)
135BoundingBox(left=136000.0, bottom=204000.0, right=137000.0, top=205000.0)
136BoundingBox(left=136000.0, bottom=203000.0, right=137000.0, top=204000.0)
137BoundingBox(left=136000.0, bottom=202000.0, right=137000.0, top=203000.0)
138BoundingBox(left=136000.0, bottom=201000.0, right=137000.0, top=202000.0)
139BoundingBox(left=136000.0, bottom=200000.0, right=137000.0, top=201000.0)
140BoundingBox(left=136000.0, bottom=199000.0, right=137000.0, top=200000.0)
141BoundingBox(left=137000.0, bottom=218000.0, right=138000.0, top=219000.0)
142BoundingBox(left=137000.0, bottom=217000.0, right=138000.0, top=218000.0)
143BoundingBox(left=137000.0, bottom=216000.0, right=138000.0, top=217000.0)
144BoundingBox(left=137000.0, bottom=215000.0, right=138000.0, top=216000.0)
145BoundingBox(left=137000.0, bottom=214000.0, right=138000.0, top=215000.0)
146BoundingBox(left=137000.0, bottom=213000.0, right=138000.0, top=214000.0)
